provider,mpn,priceBreaks,currency,stockQty,manufacturer,description,package,packaging,regions,leadTime,url
digikey,2N3904,"5 tiers",USD,50706,"onsemi","TRANS NPN 40V 0.2A TO-92-3",,Cut Tape (CT),US,GLOBAL,13,"https://www.digikey.com/en/products/detail/onsemi/2N3904TA/973944"
digikey,2n3904,"N/A",,,"","",,,,,""
digikey,DS12C887+,"7 tiers",USD,782,"Analog Devices Inc./Maxim Integrated","IC RTC CLK/CALENDAR PAR 24EDIP",,Tube,US,GLOBAL,10,"https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/DS12C887/956875"
digikey,STM32F103C8T6,"8 tiers",USD,4781,"STMicroelectronics","IC MCU 32BIT 64KB FLASH 48LQFP",,Tray,US,GLOBAL,17,"https://www.digikey.com/en/products/detail/stmicroelectronics/STM32F103C8T6/1646338"
digikey,ds12c887,"N/A",,,"","",,,,,""
digikey,stm32f103c8t6,"N/A",,,"","",,,,,""
farnell,2n3904,"N/A",,,"","",,,,,""
farnell,ds12c887,"N/A",,,"","",,,,,""
farnell,stm32f103c8t6,"N/A",,,"","",,,,,""
mouser,2n3904,"N/A",,,"","",,,,,""
mouser,ds12c887,"N/A",,,"","",,,,,""
mouser,stm32f103c8t6,"N/A",,,"","",,,,,""
tme,2n3904,"N/A",,,"","",,,,,""
tme,ds12c887,"N/A",,,"","",,,,,""
tme,stm32f103c8t6,"N/A",,,"","",,,,,""
