provider,mpn,priceBreaks,currency,stockQty,manufacturer,description,package,packaging,regions,leadTime,url
digikey,2N3904,"5 tiers",USD,50706,"onsemi","TRANS NPN 40V 0.2A TO-92-3",,Cut Tape (CT),US,GLOBAL,13,"https://www.digikey.com/en/products/detail/onsemi/2N3904TA/973944"
digikey,2n3904,"N/A",,,"","",,,,,""
digikey,DS12C887+,"7 tiers",USD,782,"Analog Devices Inc./Maxim Integrated","IC RTC CLK/CALENDAR PAR 24EDIP",,Tube,US,GLOBAL,10,"https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/DS12C887/956875"
digikey,STM32F103C8T6,"8 tiers",USD,4781,"STMicroelectronics","IC MCU 32BIT 64KB FLASH 48LQFP",,Tray,US,GLOBAL,17,"https://www.digikey.com/en/products/detail/stmicroelectronics/STM32F103C8T6/1646338"
digikey,ds12c887,"N/A",,,"","",,,,,""
digikey,stm32f103c8t6,"N/A",,,"","",,,,,""
farnell,2N3904,"N/A",,,"","",,,,,""
farnell,2n3904,"N/A",,,"","",,,,,""
farnell,DS12C887+,"N/A",,,"","",,,,,""
farnell,STM32F103C8T6,"N/A",,,"","",,,,,""
farnell,ds12c887,"N/A",,,"","",,,,,""
farnell,stm32f103c8t6,"N/A",,,"","",,,,,""
mouser,2N3904,"8 tiers",USD,36728,"Diotec Semiconductor","Bipolar Transistors - BJT BJT, TO-92, 40V, 200mA, NPN",,,US,24 Days,"https://www.mouser.com/ProductDetail/Diotec-Semiconductor/2N3904?qs=OlC7AqGiEDlYMySw5i2rlg%3D%3D"
mouser,2n3904,"N/A",,,"","",,,,,""
mouser,DS12C887+,"7 tiers",USD,254,"Analog Devices / Maxim Integrated","Real Time Clock Real-Time Clocks",,,US,70 Days,"https://www.mouser.com/ProductDetail/Analog-Devices-Maxim-Integrated/DS12C887%2b?qs=1eQvB6Dk1vg6K7lv6ecmzA%3D%3D"
mouser,STM32F103C8T6,"8 tiers",USD,12846,"STMicroelectronics","ARM Microcontrollers - MCU 32BIT Cortex M3 64KB 20KB RAM 2X12 ADC",,,US,91 Days,"https://www.mouser.com/ProductDetail/STMicroelectronics/STM32F103C8T6?qs=bhCVus9SdFtq6kqxsU5%2FDA%3D%3D"
mouser,ds12c887,"N/A",,,"","",,,,,""
mouser,stm32f103c8t6,"N/A",,,"","",,,,,""
tme,2N3904,"N/A",PLN,,"DIOTEC SEMICONDUCTOR","Transistor: NPN; bipolar; 40V; 0.2A; 625mW; TO92",,,EU,,"//www.tme.eu/en/details/2n3904-dio/npn-tht-transistors/diotec-semiconductor/2n3904/"
tme,2n3904,"N/A",,,"","",,,,,""
tme,DS12C887+,"N/A",,,"","",,,,,""
tme,STM32F103C8T6,"N/A",PLN,,"KAMAMI","Dev.kit: STM32; prototype board; uC: STM32F103C8T6",,,EU,,"//www.tme.eu/en/details/kamod-bluepill+/stm-development-kits/kamami/kamod-bluepill/"
tme,ds12c887,"N/A",,,"","",,,,,""
tme,stm32f103c8t6,"N/A",,,"","",,,,,""
